wu,wr,wd,wl,au,ar,ad,al,bu,br,bd,bl,dx,dy,direction
368,208,144,304,1,0,0,0,0,0,1,0,0,-112,0
352,208,160,304,1,0,0,0,0,0,1,0,0,-96,0
336,208,176,304,1,0,0,0,0,0,1,0,0,-80,0
320,208,192,304,1,0,0,0,0,0,1,0,0,-64,0
304,208,208,304,1,0,0,0,0,0,1,0,0,-48,0
288,208,224,304,1,0,0,0,0,0,1,0,0,-32,0
272,208,240,304,1,0,0,0,0,0,1,0,0,-16,0
288,240,224,272,0,0,1,0,1,0,0,0,0,32,2
304,240,208,272,0,0,1,0,1,0,0,0,0,16,2
416,144,96,368,0,1,0,0,1,0,0,0,-96,0,1
416,128,96,384,0,1,0,0,0,0,0,1,-80,0,1
416,112,96,400,0,1,0,0,0,0,0,1,-64,0,1
416,96,96,416,0,1,0,0,0,0,0,1,-48,0,1
416,80,96,432,0,1,0,0,0,0,0,1,-32,0,1
416,64,96,448,0,1,0,0,0,0,0,1,-16,0,1
96,368,416,144,0,0,0,1,0,0,1,0,16,0,3
240,240,272,272,0,1,0,0,1,0,0,0,-192,0,1
240,224,272,288,0,1,0,0,0,0,0,1,-176,0,1
240,208,272,304,0,1,0,0,0,0,0,1,-160,0,1
240,192,272,320,0,1,0,0,0,0,0,1,-144,0,1
240,176,272,336,0,1,0,0,0,0,0,1,-128,0,1
240,160,272,352,0,1,0,0,0,0,0,1,-112,0,1
240,144,272,368,0,1,0,0,0,0,0,1,-96,0,1
240,128,272,384,0,1,0,0,0,0,0,1,-80,0,1
240,112,272,400,0,1,0,0,0,0,0,1,-64,0,1
240,96,272,416,0,1,0,0,0,0,0,1,-48,0,1
240,80,272,432,0,1,0,0,0,0,0,1,-32,0,1
240,64,272,448,0,1,0,0,0,0,0,1,-16,0,1
464,272,48,240,0,0,0,1,1,0,0,0,208,0,3
464,288,48,224,0,0,0,1,0,1,0,0,192,0,3
464,304,48,208,0,0,0,1,0,1,0,0,176,0,3
464,320,48,192,0,0,0,1,0,1,0,0,160,0,3
464,336,48,176,0,0,0,1,0,1,0,0,144,0,3
464,352,48,160,0,0,0,1,0,1,0,0,128,0,3
464,368,48,144,0,0,0,1,0,1,0,0,112,0,3
464,384,48,128,0,0,0,1,0,1,0,0,96,0,3
464,400,48,112,0,0,0,1,0,1,0,0,80,0,3
464,416,48,96,0,0,0,1,0,1,0,0,64,0,3
464,432,48,80,0,0,0,1,0,1,0,0,48,0,3
464,448,48,64,0,0,0,1,0,1,0,0,32,0,3
464,464,48,48,0,0,0,1,0,1,0,0,16,0,3
176,192,336,320,1,0,0,0,0,0,1,0,0,-144,0
160,192,352,320,1,0,0,0,0,0,1,0,0,-128,0
144,192,368,320,1,0,0,0,0,0,1,0,0,-112,0
128,192,384,320,1,0,0,0,0,0,1,0,0,-96,0
112,192,400,320,1,0,0,0,0,0,1,0,0,-80,0
96,192,416,320,1,0,0,0,0,0,1,0,0,-64,0
80,192,432,320,1,0,0,0,0,0,1,0,0,-48,0
64,192,448,320,1,0,0,0,0,0,1,0,0,-32,0
48,192,464,320,1,0,0,0,0,0,1,0,0,-16,0
32,192,480,320,0,0,0,1,0,0,1,0,96,0,3
32,208,480,304,0,0,0,1,0,1,0,0,80,0,3
32,224,480,288,0,0,0,1,0,1,0,0,64,0,3
32,240,480,272,0,0,0,1,0,1,0,0,48,0,3
32,256,480,256,0,0,0,1,0,1,0,0,32,0,3
32,272,480,240,0,0,0,1,0,1,0,0,16,0,3
192,448,320,64,0,0,1,0,1,0,0,0,0,48,2
208,448,304,64,0,0,1,0,1,0,0,0,0,32,2
224,448,288,64,0,0,1,0,1,0,0,0,0,16,2
80,288,432,224,0,1,0,0,0,0,1,0,-176,0,1
80,272,432,240,0,1,0,0,0,0,0,1,-160,0,1
80,256,432,256,0,1,0,0,0,0,0,1,-144,0,1
80,240,432,272,0,1,0,0,0,0,0,1,-128,0,1
80,224,432,288,0,1,0,0,0,0,0,1,-112,0,1
80,208,432,304,0,1,0,0,0,0,0,1,-96,0,1
80,192,432,320,0,1,0,0,0,0,0,1,-80,0,1
80,176,432,336,0,1,0,0,0,0,0,1,-64,0,1
80,160,432,352,0,1,0,0,0,0,0,1,-48,0,1
80,144,432,368,0,1,0,0,0,0,0,1,-32,0,1
80,128,432,384,0,1,0,0,0,0,0,1,-16,0,1
112,80,400,432,0,0,1,0,1,0,0,0,0,176,2
128,80,384,432,0,0,1,0,1,0,0,0,0,160,2
144,80,368,432,0,0,1,0,1,0,0,0,0,144,2
160,80,352,432,0,0,1,0,1,0,0,0,0,128,2
176,80,336,432,0,0,1,0,1,0,0,0,0,112,2
192,80,320,432,0,0,1,0,1,0,0,0,0,96,2
208,80,304,432,0,0,1,0,1,0,0,0,0,80,2
224,80,288,432,0,0,1,0,1,0,0,0,0,64,2
240,80,272,432,0,0,1,0,1,0,0,0,0,48,2
256,80,256,432,0,0,1,0,1,0,0,0,0,32,2
272,80,240,432,0,0,1,0,1,0,0,0,0,16,2
192,176,320,336,0,0,0,1,0,0,1,0,32,0,3
192,192,320,320,0,0,0,1,0,1,0,0,16,0,3
272,288,240,224,0,0,0,1,1,0,0,0,176,0,3
272,304,240,208,0,0,0,1,0,1,0,0,160,0,3
272,320,240,192,0,0,0,1,0,1,0,0,144,0,3
272,336,240,176,0,0,0,1,0,1,0,0,128,0,3
272,352,240,160,0,0,0,1,0,1,0,0,112,0,3
272,368,240,144,0,0,0,1,0,1,0,0,96,0,3
272,384,240,128,0,0,0,1,0,1,0,0,80,0,3
272,400,240,112,0,0,0,1,0,1,0,0,64,0,3
272,416,240,96,0,0,0,1,0,1,0,0,48,0,3
272,432,240,80,0,0,0,1,0,1,0,0,32,0,3
272,448,240,64,0,0,0,1,0,1,0,0,16,0,3
336,400,176,112,0,1,0,0,1,0,0,0,-32,0,1
336,384,176,128,0,1,0,0,0,0,0,1,-16,0,1
400,416,112,96,0,0,0,1,1,0,0,0,16,0,3
304,336,208,176,1,0,0,0,0,0,1,0,0,-240,0
288,336,224,176,1,0,0,0,0,0,1,0,0,-224,0
272,336,240,176,1,0,0,0,0,0,1,0,0,-208,0
256,336,256,176,1,0,0,0,0,0,1,0,0,-192,0
240,336,272,176,1,0,0,0,0,0,1,0,0,-176,0
224,336,288,176,1,0,0,0,0,0,1,0,0,-160,0
208,336,304,176,1,0,0,0,0,0,1,0,0,-144,0
192,336,320,176,1,0,0,0,0,0,1,0,0,-128,0
176,336,336,176,1,0,0,0,0,0,1,0,0,-112,0
160,336,352,176,1,0,0,0,0,0,1,0,0,-96,0
144,336,368,176,1,0,0,0,0,0,1,0,0,-80,0
128,336,384,176,1,0,0,0,0,0,1,0,0,-64,0
112,336,400,176,1,0,0,0,0,0,1,0,0,-48,0
96,336,416,176,1,0,0,0,0,0,1,0,0,-32,0
80,336,432,176,1,0,0,0,0,0,1,0,0,-16,0
320,464,192,48,0,0,1,0,1,0,0,0,0,112,2
336,464,176,48,0,0,1,0,1,0,0,0,0,96,2
352,464,160,48,0,0,1,0,1,0,0,0,0,80,2
368,464,144,48,0,0,1,0,1,0,0,0,0,64,2
384,464,128,48,0,0,1,0,1,0,0,0,0,48,2
400,464,112,48,0,0,1,0,1,0,0,0,0,32,2
416,464,96,48,0,0,1,0,1,0,0,0,0,16,2
192,224,320,288,1,0,0,0,0,0,1,0,0,-144,0
176,224,336,288,1,0,0,0,0,0,1,0,0,-128,0
160,224,352,288,1,0,0,0,0,0,1,0,0,-112,0
144,224,368,288,1,0,0,0,0,0,1,0,0,-96,0
128,224,384,288,1,0,0,0,0,0,1,0,0,-80,0
112,224,400,288,1,0,0,0,0,0,1,0,0,-64,0
96,224,416,288,1,0,0,0,0,0,1,0,0,-48,0
80,224,432,288,1,0,0,0,0,0,1,0,0,-32,0
64,224,448,288,1,0,0,0,0,0,1,0,0,-16,0
208,384,304,128,0,0,1,0,1,0,0,0,0,288,2
224,384,288,128,0,0,1,0,1,0,0,0,0,272,2
240,384,272,128,0,0,1,0,1,0,0,0,0,256,2
256,384,256,128,0,0,1,0,1,0,0,0,0,240,2
272,384,240,128,0,0,1,0,1,0,0,0,0,224,2
288,384,224,128,0,0,1,0,1,0,0,0,0,208,2
